Biosample	File accession	Experiment accession	File format	Output type	Experiment target	Isogenic replicate	Lab	Reference Genome	
H1	ENCFF948UXT	ENCSR880SUY	bam	alignments	H3K27ac	1	Bing Ren, UCSD	GRCh38	
H1	ENCFF663SAM	ENCSR880SUY	bam	alignments	H3K27ac	2	Bing Ren, UCSD	GRCh38	
H1	ENCFF045CUG	ENCSR880SUY	bed narrowPeak	replicated peaks	H3K27ac	1,2	Bing Ren, UCSD	GRCh38	
H1	ENCFF310SBN	ENCSR216OGD	bam	alignments	H3K27me3	1	Bradley Bernstein, Broad	GRCh38	
H1	ENCFF083QQZ	ENCSR216OGD	bam	alignments	H3K27me3	2	Bradley Bernstein, Broad	GRCh38	
H1	ENCFF084QDP	ENCSR216OGD	bed narrowPeak	replicated peaks	H3K27me3	1,2	Bradley Bernstein, Broad	GRCh38	
H1	ENCFF619JFN	ENCSR925LJZ	bam	alignments	H3K36me3	1	Bradley Bernstein, Broad	GRCh38	
H1	ENCFF044YAN	ENCSR925LJZ	bam	alignments	H3K36me3	2	Bradley Bernstein, Broad	GRCh38	
H1	ENCFF736WAN	ENCSR925LJZ	bed narrowPeak	replicated peaks	H3K36me3	1,2	Bradley Bernstein, Broad	GRCh38	
H1	ENCFF571AXH	ENCSR000AMG	bam	alignments	H3K4me3	1	Bradley Bernstein, Broad	GRCh38	
H1	ENCFF153RJP	ENCSR000AMG	bam	alignments	H3K4me3	2	Bradley Bernstein, Broad	GRCh38	
H1	ENCFF668YOE	ENCSR000AMG	bed narrowPeak	replicated peaks	H3K4me3	1,2	Bradley Bernstein, Broad	GRCh38	
H1	ENCFF669PQL	ENCSR000APZ	bam	alignments	H3K9me3	1	Bradley Bernstein, Broad	GRCh38	
H1	ENCFF230VQG	ENCSR000APZ	bam	alignments	H3K9me3	2	Bradley Bernstein, Broad	GRCh38	
H1	ENCFF654ZZO	ENCSR000APZ	bed narrowPeak	replicated peaks	H3K9me3	1,2	Bradley Bernstein, Broad	GRCh38	
ectodermal cell	ENCFF728FKI	ENCSR747HAM	bam	alignments	H3K27ac	1	Bradley Bernstein, Broad	GRCh38	
ectodermal cell	ENCFF537TER	ENCSR747HAM	bam	alignments	H3K27ac	2	Bradley Bernstein, Broad	GRCh38	
ectodermal cell	ENCFF909CTU	ENCSR747HAM	bed narrowPeak	replicated peaks	H3K27ac	1,2	Bradley Bernstein, Broad	GRCh38	
ectodermal cell	ENCFF761AOT	ENCSR690GLT	bam	alignments	H3K27me3	1	Bradley Bernstein, Broad	GRCh38	
ectodermal cell	ENCFF154LYG	ENCSR690GLT	bam	alignments	H3K27me3	3	Bradley Bernstein, Broad	GRCh38	
ectodermal cell	ENCFF940CGE	ENCSR690GLT	bed narrowPeak	replicated peaks	H3K27me3	1,3	Bradley Bernstein, Broad	GRCh38	
ectodermal cell	ENCFF711UXZ	ENCSR807LJO	bam	alignments	H3K4me3	1	Bradley Bernstein, Broad	GRCh38	
ectodermal cell	ENCFF597UZU	ENCSR807LJO	bam	alignments	H3K4me3	3	Bradley Bernstein, Broad	GRCh38	
ectodermal cell	ENCFF450NCT	ENCSR807LJO	bed narrowPeak	replicated peaks	H3K4me3	1,3	Bradley Bernstein, Broad	GRCh38	
