BioSample	Experiment accession	File accession	File format	Output type	Experiment target	ENSEMBL_ID
K562	ENCSR725ARB	ENCFF810NKV	bed narrowPeak	peaks	AGGF1	ENSG00000164252
HepG2	ENCSR543TPH	ENCFF992LCW	bed narrowPeak	peaks	AGGF1	ENSG00000164252
K562	ENCSR663WES	ENCFF262ILV	bed narrowPeak	peaks	BUD13	ENSG00000137656
HepG2	ENCSR830BSQ	ENCFF011NAP	bed narrowPeak	peaks	BUD13	ENSG00000137656
K562	ENCSR840DRD	ENCFF878VVA	bed narrowPeak	peaks	CSTF2T	ENSG00000177613
HepG2	ENCSR919HSE	ENCFF141DOI	bed narrowPeak	peaks	CSTF2T	ENSG00000177613
K562	ENCSR923NKN	ENCFF462WAI	bed narrowPeak	peaks	DDX55	ENSG00000111364
HepG2	ENCSR845VGB	ENCFF797QRS	bed narrowPeak	peaks	DDX55	ENSG00000111364
K562	ENCSR893EFU	ENCFF904KTV	bed narrowPeak	peaks	DDX6	ENSG00000110367
HepG2	ENCSR141OIM	ENCFF614NUP	bed narrowPeak	peaks	DDX6	ENSG00000110367
K562	ENCSR844RVX	ENCFF862ZPV	bed narrowPeak	peaks	EFTUD2	ENSG00000108883
HepG2	ENCSR527DXF	ENCFF796RMF	bed narrowPeak	peaks	EFTUD2	ENSG00000108883
K562	ENCSR006OEQ	ENCFF158AOV	bed narrowPeak	peaks	FAM120A	ENSG00000048828
HepG2	ENCSR987NYS	ENCFF208ZMI	bed narrowPeak	peaks	FAM120A	ENSG00000048828
K562	ENCSR887FHF	ENCFF423SOR	bed narrowPeak	peaks	FASTKD2	ENSG00000118246
HepG2	ENCSR023UHL	ENCFF498IGK	bed narrowPeak	peaks	FASTKD2	ENSG00000118246
K562	ENCSR999YGP	ENCFF327DLL	bed narrowPeak	peaks	GRWD1	ENSG00000105447
HepG2	ENCSR893NWB	ENCFF159MMZ	bed narrowPeak	peaks	GRWD1	ENSG00000105447
K562	ENCSR736AAG	ENCFF278ZCU	bed narrowPeak	peaks	GTF2F1	ENSG00000125651
HepG2	ENCSR265ZIS	ENCFF002HYO	bed narrowPeak	peaks	GTF2F1	ENSG00000125651
K562	ENCSR154HRN	ENCFF392AEV	bed narrowPeak	peaks	HNRNPA1	ENSG00000135486
HepG2	ENCSR769UEW	ENCFF797GSK	bed narrowPeak	peaks	HNRNPA1	ENSG00000135486
K562	ENCSR249ROI	ENCFF167CDB	bed narrowPeak	peaks	HNRNPC	ENSG00000092199
HepG2	ENCSR550DVK	ENCFF440ROZ	bed narrowPeak	peaks	HNRNPC	ENSG00000092199
K562	ENCSR268ETU	ENCFF918XJQ	bed narrowPeak	peaks	HNRNPK	ENSG00000165119
HepG2	ENCSR828ZID	ENCFF855CPQ	bed narrowPeak	peaks	HNRNPK	ENSG00000165119
K562	ENCSR795CAI	ENCFF917CBK	bed narrowPeak	peaks	HNRNPL	ENSG00000104824
HepG2	ENCSR724RDN	ENCFF266TKW	bed narrowPeak	peaks	HNRNPL	ENSG00000104824
K562	ENCSR412NOW	ENCFF445ENC	bed narrowPeak	peaks	HNRNPM	ENSG00000099783
HepG2	ENCSR267UCX	ENCFF752JNY	bed narrowPeak	peaks	HNRNPM	ENSG00000099783
K562	ENCSR520BZQ	ENCFF241DVU	bed narrowPeak	peaks	HNRNPU	ENSG00000153187
HepG2	ENCSR240MVJ	ENCFF039XQD	bed narrowPeak	peaks	HNRNPU	ENSG00000153187
K562	ENCSR571VHI	ENCFF889AWX	bed narrowPeak	peaks	HNRNPUL1	ENSG00000105323
HepG2	ENCSR755TJC	ENCFF610JVZ	bed narrowPeak	peaks	HNRNPUL1	ENSG00000105323
K562	ENCSR975KIR	ENCFF650LMV	bed narrowPeak	peaks	IGF2BP1	ENSG00000159217
HepG2	ENCSR744GEU	ENCFF442USD	bed narrowPeak	peaks	IGF2BP1	ENSG00000159217
K562	ENCSR438KWZ	ENCFF385MJU	bed narrowPeak	peaks	ILF3	ENSG00000129351
HepG2	ENCSR786TSC	ENCFF071QDP	bed narrowPeak	peaks	ILF3	ENSG00000129351
K562	ENCSR888YTT	ENCFF947CIN	bed narrowPeak	peaks	LARP4	ENSG00000161813
HepG2	ENCSR805SRN	ENCFF534JCV	bed narrowPeak	peaks	LARP4	ENSG00000161813
K562	ENCSR456KXI	ENCFF809CKN	bed narrowPeak	peaks	LARP7	ENSG00000174720
HepG2	ENCSR961OKA	ENCFF307MDW	bed narrowPeak	peaks	LARP7	ENSG00000174720
K562	ENCSR970NKP	ENCFF061XNA	bed narrowPeak	peaks	LIN28B	ENSG00000187772
HepG2	ENCSR861GYE	ENCFF341XMP	bed narrowPeak	peaks	LIN28B	ENSG00000187772
K562	ENCSR022BVV	ENCFF858EHN	bed narrowPeak	peaks	LSM11	ENSG00000155858
HepG2	ENCSR135VMS	ENCFF985ECA	bed narrowPeak	peaks	LSM11	ENSG00000155858
K562	ENCSR440SUX	ENCFF246EPM	bed narrowPeak	peaks	MATR3	ENSG00000015479
HepG2	ENCSR290VLT	ENCFF587KKM	bed narrowPeak	peaks	MATR3	ENSG00000015479
K562	ENCSR484LTQ	ENCFF886MLH	bed narrowPeak	peaks	NCBP2	ENSG00000114503
HepG2	ENCSR018RVZ	ENCFF692RZM	bed narrowPeak	peaks	NCBP2	ENSG00000114503
K562	ENCSR922WJV	ENCFF900IOH	bed narrowPeak	peaks	PCBP1	ENSG00000169564
HepG2	ENCSR256CHX	ENCFF098REE	bed narrowPeak	peaks	PCBP1	ENSG00000169564
K562	ENCSR534YOI	ENCFF858UKE	bed narrowPeak	peaks	PRPF8	ENSG00000174231
HepG2	ENCSR121NVA	ENCFF048YPA	bed narrowPeak	peaks	PRPF8	ENSG00000174231
K562	ENCSR981WKN	ENCFF907HNN	bed narrowPeak	peaks	PTBP1	ENSG00000011304
HepG2	ENCSR384KAN	ENCFF726SQU	bed narrowPeak	peaks	PTBP1	ENSG00000011304
K562	ENCSR366YOG	ENCFF786UOW	bed narrowPeak	peaks	QKI	ENSG00000112531
HepG2	ENCSR570WLM	ENCFF704OCI	bed narrowPeak	peaks	QKI	ENSG00000112531
K562	ENCSR756CKJ	ENCFF206RIM	bed narrowPeak	peaks	RBFOX2	ENSG00000100320
HepG2	ENCSR987FTF	ENCFF871NYM	bed narrowPeak	peaks	RBFOX2	ENSG00000100320
K562	ENCSR196INN	ENCFF597MMG	bed narrowPeak	peaks	RBM15B	ENSG00000259956
HepG2	ENCSR754NDA	ENCFF054VLU	bed narrowPeak	peaks	RBM15B	ENSG00000259956
K562	ENCSR295OKT	ENCFF972ZMJ	bed narrowPeak	peaks	RBM22	ENSG00000086589
HepG2	ENCSR456JJQ	ENCFF293IZG	bed narrowPeak	peaks	RBM22	ENSG00000086589
K562	ENCSR267OLV	ENCFF649GEE	bed narrowPeak	peaks	SF3B4	ENSG00000143368
HepG2	ENCSR279UJF	ENCFF073IJF	bed narrowPeak	peaks	SF3B4	ENSG00000143368
K562	ENCSR658IQB	ENCFF943XOU	bed narrowPeak	peaks	SMNDC1	ENSG00000119953
HepG2	ENCSR373ODC	ENCFF736RYV	bed narrowPeak	peaks	SMNDC1	ENSG00000119953
K562	ENCSR128VXC	ENCFF211TRO	bed narrowPeak	peaks	SND1	ENSG00000197157
HepG2	ENCSR061EVO	ENCFF609LWQ	bed narrowPeak	peaks	SND1	ENSG00000197157
K562	ENCSR432XUP	ENCFF886XUO	bed narrowPeak	peaks	SRSF1	ENSG00000136450
HepG2	ENCSR989VIY	ENCFF934ANS	bed narrowPeak	peaks	SRSF1	ENSG00000136450
K562	ENCSR468FSW	ENCFF780OCY	bed narrowPeak	peaks	SRSF7	ENSG00000115875
HepG2	ENCSR513NDD	ENCFF317HGW	bed narrowPeak	peaks	SRSF7	ENSG00000115875
K562	ENCSR381VNR	ENCFF781BNS	bed narrowPeak	peaks	SRSF9	ENSG00000111786
HepG2	ENCSR773KRC	ENCFF765PIF	bed narrowPeak	peaks	SRSF9	ENSG00000111786
K562	ENCSR568DZW	ENCFF822NWY	bed narrowPeak	peaks	TAF15	ENSG00000270647
HepG2	ENCSR841EQA	ENCFF566EAE	bed narrowPeak	peaks	TAF15	ENSG00000270647
K562	ENCSR057DWB	ENCFF918KMT	bed narrowPeak	peaks	TIA1	ENSG00000116001
HepG2	ENCSR623VEQ	ENCFF759KCD	bed narrowPeak	peaks	TIA1	ENSG00000116001
K562	ENCSR365NVO	ENCFF726PFJ	bed narrowPeak	peaks	TRA2A	ENSG00000164548
HepG2	ENCSR314UMJ	ENCFF766OCH	bed narrowPeak	peaks	TRA2A	ENSG00000164548
K562	ENCSR862QCH	ENCFF640IHY	bed narrowPeak	peaks	U2AF1	ENSG00000160201
HepG2	ENCSR328LLU	ENCFF056LEW	bed narrowPeak	peaks	U2AF1	ENSG00000160201
K562	ENCSR893RAV	ENCFF290DFO	bed narrowPeak	peaks	U2AF2	ENSG00000063244
HepG2	ENCSR202BFN	ENCFF721PWF	bed narrowPeak	peaks	U2AF2	ENSG00000063244
K562	ENCSR349KMG	ENCFF365LFU	bed narrowPeak	peaks	UCHL5	ENSG00000116750
HepG2	ENCSR490IEE	ENCFF573DXD	bed narrowPeak	peaks	UCHL5	ENSG00000116750
K562	ENCSR258QKO	ENCFF958GMP	bed narrowPeak	peaks	XRCC6	ENSG00000196419
HepG2	ENCSR571ROL	ENCFF993VRZ	bed narrowPeak	peaks	XRCC6	ENSG00000196419
K562	ENCSR657TZB	ENCFF695OLO	bed narrowPeak	peaks	XRN2	ENSG00000088930
HepG2	ENCSR655NZA	ENCFF321HPH	bed narrowPeak	peaks	XRN2	ENSG00000088930
K562	ENCSR712IAG	ENCFF258HOX	bed narrowPeak	peaks	ZC3H11A	ENSG00000058673
HepG2	ENCSR907GUB	ENCFF592WIH	bed narrowPeak	peaks	ZC3H11A	ENSG00000058673
